keyword,content
LGBT,"Any love is love (5)
 Love beyond gender (5)
 Same as you and me. (5)
 Homo is not wrong (5) (I think homo is an offensive word though…)
 Straight and gay, one unity (7)
 Love in all shapes and sizes (7)
 Multi-coloured love (5)
 I am who I say I am (7)
 it is the love that matters (7)
 Souls see no label (5)
 Being authentic (5)
 Authenticity (5)
 L,G,B,T,plus (5)
 Love Grows Beneath Truth (5)"
Human,"I see, and I touch (5)
 I feel my being (5)
 Embracing human nature (7)
 Run fast and aim high (5)
 Deserved to be loved (5)
 Need not to hide anymore (7)
 Loved as who I am (5)
 No one/ love is “unnatural” (7)
 Strange as it may seem (5)
 We all can do it (5) 
 The good, the bad, the ugly (7) 
 Me. I think, therefore I am (7) 
 A simple complexity (7)"
Liberation,"Afloat, with the wind (5)
 No longer bound to sorrow (7)
 Chained no longer, I walk (5)
 The road not taken (5)
 Go free and unfettered (7)
 Free, I chase the wind (5)
 Push the closet door open (7)
 Telling my parents the truth (7)
 Wearing my favourite dress/ suit/ clothes (7)
 Freeing my caged soul (5) 
 Without looking back (5) 
 All the lightness of the soul (7) 
 In mind and in body (5)"
Diversity,"Flowers of all colours grow (7)
 Carp aswim, in all colours (7)
 Leaves of all shapes and sizes (7)
 Leaving not a flower out (7)
 Sing no song of hate (5)
 Clothes for every gender (7)
 Yin, yang, and in the middle (7)
 Boys, girls and all in between (7)
 Never hum, if you can sing (7)"
Solidarity,"Different, but as one (5)
 Different, but living as one (7)
 Breathing the same air (5)
 Hand in hand, we win (5)
 Never fall apart from love (7)
 We can, together. (5)
 Care for each other (5)
 My fellows, we care (5)
 Standing by your side (5)
 Your fight is my fight (5)"
Sportsmanship,"We are all champions (5)
 Love the way we win (5)
 Press on, and the day will come (7)
 Hold on, and the time will come (7)
 A colourful human runs (7)
 United we win (5) 
 Race with sweat and tears (5)
 Here, spirit and virtue meet (7)
 Do the very best (5)
 Believe in oneself (5)
 Plum blossoms in the winter (7)
 Celebrate others (5)
 My victory is yours too (7)
 Success is not always gold (7)"
Athlete,"Racing, as moonbeams (5)
 Competing, just with yourself. (7) 
 The medal we share. (5)
 The record I break (5)
 Throw far and jump high (5)
 Relay hopes and glory (7)
 People sport along the day (7)
 Get set, ready, go! (7) 
 Eyes on the rainbow prizes (7)
 All hard work pays off (5)
 Blood, sweat and tears (5)
 Strive for excellence (5)"
Minority,"A rare find, you are. (5)
 Feel good, for being special. (7)
 Special, not common (5) 
 You are your own kind. (5)
 Like a pink sapphire. (5) 
 Cherry blossoms in autumn (7)
 Petals of the same flower. (7)
 We all are one of a kind (7)
 Us, limited edition (7)
 Unicorns are hard to find (7)
 Celebrating you (5)"
Equal/equality,"All things, all balanced. (5)
 Nothing dominates. (5) 
 Nothing can make us apart (7)
 No one lives in hate (5)
 Our love is as great (5)"
Discrimination,"Stony and steel, people’s eyes (7)
 Indifference, kicked out hard (7)
 Scorned, because of who you are (7)
 Wither prejudice (5)
 Don’t act out of fear (5)
 Taking away our chances (7)
 Life could have been as easy (7)
 I don’t deserve less (5)
 Homophobia must go (7)
 Transphobia has to go (7)
 Bisexual-phobia, no! (7)
 Closets are for clothes (5)"
Harmony,"We sing the same song (5)
 Let’s sing, in one melody (7)
 Different chords, same tune (7?)
 Peace of mind, I strive (7)
 Love and harmony combine (7)
 And our souls entwine (5)"
Warmth,"As sunshine wakens my mind (7)
 Parting ways with dark winters (7)
 Feeling the warmth in the tea (7)
 The tea warms my soul (5)
 The sun warms my soul (5)
 Your smile, it wakes up my heart (7)
 Pampered with rays of sun (7)
 Affection and devotion (7)
 Dining together (5)"
Fair/fairness,"What a perfect world (5)
 We are all human (5)
 our love is no less (5)"
Self,"Walking in my own footsteps (7)
 Walk, in my own pace (5)
 My soul, deep inside (5)
 Only heaven knows. My secrets. (7)
 Battle to be seen (5)
 Afraid to be seen (5)
 They told me to be “normal” (7)"
Pride,"Nothing to be afraid of (7)
 Fear cannot conquer respect (7)
 Nothing wrong to feel the pride (7)
 Everyone to stand by us (7)"
Rainbow,"Seven colours, unwavering. (7)
 Ribbon, of colours. (5)
 Ribbon, so full of colours (5) 
 Promise, bound by a rainbow. (7)
 Cherish the rainbow moment. (7)
 Rainbow, after rain. (5)
 Rainbow dances in the sky (7)
 We wave the rainbow flag high (7)
 I am clad in rainbow wear (7)
 So many colours (5)
 Rainbow and beyond (5)
 The joy when rain is over (7)"
